,구분,제조사,제조국,표준 장치명,세부 장치명,모델명,시설원예,한우,낙농,육우,양돈,양계,오리,사슴,양봉,곤충,말,KC 인증여부,동물용 의료기기 허가,특혀번호,주요기능,전송 구성도,사업 분야,농장명/업체명,농장주,모델명,수 량,계약 금액,사업 년도,판매 형태
101,"시설원예, 축산",주식회사 소하테크,한국, ,환경제어기,SH-MVP510,O,X,O,X,O,O,X,X,X,X,X,인증,해당없음,R-R-SOH-SH-VT510,"CO₂/온도/습도 측정 및 제어, 모바일/PC를 통한 원격 제어",자체서버,-,-,-,-,-,-,-,-
102,시설원예,주식회사 하나로수경,대한민국,환경제어기,환경제어기,외부감지기-OH01,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"온실 외부 기상 환경(온도,습도,일사,눈비,풍향,풍속)값 및 상태를 감지한 후 모니터링하여 온실환경 상태를 반응시키는 인자로 사용한다.",기타,-,-,-,-,-,-,-,-
103,시설원예,주식회사 하나로수경,중국,환경제어기,환경제어기,내부감지기-IH01,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"내부환경(온습도, 이산화탄소, 지습)값을 감지 후 모니터링하여 온실환경 상태를 반응시키는 인자로 사용한다.",기타,-,-,-,-,-,-,-,-
104,시설원예,스마트코리아 딤넷,한국,환경제어기,환경제어기,스마트컨트롤러,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"1. 입력 20개(센서류) 및 출력 32개(환경제어)의 연결장치
2. 온실 내/외부 센서를 통한 측정치 습득 역할 수행
3. 측정치를 바탕으로 온실 환경 제어
4. 사용자 설정에 따른 환경의 전체적인 제어 시스템
5. 터치스크린을 통한 제어 설정, 정보표시 및 데이터 자징 가능
6. P.L.C 제어로 안정된 운전 확보",자체서버,-,-,-,-,-,-,-,-
105,시설원예,신한에이텍(주),대한민국,환경제어기,환경제어기,GK-3000,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"제10-1113107호,제10-1130340호,제10-1358003호,제10-1425462호","지역별 일출, 일몰에 의한 시간 설정 및 제어 가능
환기,난방온도,측창,커튼, 측커튼 등 6단계 설정 가능
광량, 누적광량, 내부습도의 변수값에 의한 환기온도, 난방온도 설정 가능
바람 방향에 따라 천창, 측창 좌우 개별제어 가능
수평커튼 3개소(차광, 보온등), 수직커턴 3개소(보온) 사용가능
고온, 저온 설정으로 경보온도 발생 시 자동개폐 온도설정 가능
이중창, 유동팬, 배기팬, CO2, 훈증기, 스프링쿨러, 에어포그, 보광등, 냉난방기,
순환펌프 2개소, 보존 난방기, 난？관 온도에 의한 3WAY밸브 2개소 사용가능",자체서버,-,-,-,-,-,-,-,-
106,시설원예,주식회사 아이오티팜 농업회사법인,대한민국,양액기,양액기,NAIS-1000양액공급기,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,제10-1588815호,"농작물 양액공급기
모터펌프 : 2.2kw/3HP, 
구역채널 : 12구역, 
액비공급 : A,B,C,D",자체서버,-,-,-,-,-,-,-,-
107,시설원예,한국네타핌유한회사,이스라엘,양액기,양액기,Netaflex,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"오픈-탱크 양액™ 시스템
온실 작물에 정확하고 균일하게 영양분을 공급
정확한 EC 및 PH 조절
최대 6개의 고정밀 도징 채널 유닛, 50 ~ 600 l/h
3m³/h ~ 64m³/h 범위의 시스템 유량",자체서버,-,-,-,-,-,-,-,-
108,시설원예,한국네타핌유한회사,이스라엘,양액기,양액기,Fertikit,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"수경/토경 재배 양액기
4개의 양액 도징채널
정확한 EC, pH 제어
유량 또는 비례적인 양액 공급 기능
수확량 증가 및 작물 품질 향상
물, 비료, 에너지 소비 절약
사용자 맞춤형의 세밀한 양액 제어",자체서버,-,-,-,-,-,-,-,-
109,시설원예,한국네타핌유한회사,이스라엘,양액기,양액기,Netajet,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"정밀 양액제어시스템
아날로그 도징채널 장착 
신속하고 정확한 EC/pH 제어 
효율적인 물, 비료 및 에너지 소비 
설치 및 유지보수가 심플한 시스템 
효율적이고 안정성이 높은 프로그램 
토양, 수경재배 등 다양한 응용분야에 적용 
최대  5개의  비료, 산  도징  채널  50~1000L/Hr 
시간  당  0.5~400 톤의  물량  공급  가능",자체서버,-,-,-,-,-,-,-,-
110,시설원예,주식회사 케이에프농업개발,한국,양액기,양액기,KF7,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"특허제 10-1090279호 양액공급시스템, 특허제 10-1088427 양액공급제어방법","1. 양액 관수펌프 : 0.5 ~ 15HP
2. 관수 공급구역 : 1 ~ 18구역(전자밸브 제어)
3. 혼합 탱크 : 150리터(관수펌프 용량에 따라 변경가능)
4. 양액 공급 채널 : 기본(A,B,C), 옵션에 따라 견경가능)
5. 양액 제어 방식 : 벤츄리 인젝션 방식(30~300리터/시간)
6. 사용센서 : EC센서, pH센서, 광량센서
7. 제어방식 : 펌웨어 소프트웨어 + 터치스크린",자체서버,-,-,-,-,-,-,-,-
111,시설원예,주식회사 케이에프농업개발,대한민국,양액기,양액기,KF9,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"특허제 10-1090279호 양액공급시스템, 특허제 10-1088427 양액공급제어방법","1. 양액 관수펌프 : 0.5 ~ 15HP
2. 관수 공급구역 : 1 ~ 18구역(전자밸브 제어)
3. 혼합 탱크 : 150리터(관수펌프 용량에 따라 변경가능)
4. 양액 공급 채널 : 기본(A1,B1,C,A2,B2,C), 옵션에 따라 견경가능
5. 양액 제어 방식 : 벤츄리 인젝션 방식(30~300리터/시간)",자체서버,-,-,-,-,-,-,-,-
112,시설원예,주식회사 케이에프농업개발,대한민국,양액기,양액기,KF5,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"특허제 10-1090279호 양액공급시스템, 특허제 10-1088427 양액공급제어방법","1. 양액 관수펌프 : 0.5 ~ 15HP
2. 관수 공급구역 : 1 ~ 18구역(전자밸브 제어)
3. 혼합 탱크 : 150리터(관수펌프 용량에 따라 변경가능)
4. 양액 공급 채널 : 기본 A,B(옵션에 따라 견경가능)
5. 양액 제어 방식 : 벤츄리 인젝션 방식(30~300리터/시간)",자체서버,-,-,-,-,-,-,-,-
113,시설원예,주식회사 케이에프농업개발,대한민국,양액기,양액기,KF3,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"특허제 10-1090279호 양액공급시스템, 특허제 10-1088427 양액공급제어방법","1. 양액 관수펌프 : 1HP
2. 관수 공급구역 : 1 ~ 18구역(전자밸브 제어)
3. 혼합 탱크 : 없음(인라인방식)
4. 양액 공급 채널 : 기본(A,B)
5. 양액 제어 방식 : 벤츄리 인젝션 방식(30~300리터/시간)",자체서버,-,-,-,-,-,-,-,-
114,시설원예,대영지에스주식회사,네덜란드,환경제어기,환경제어기,CX-500,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"CX500은 사용자의 편의성을 위해 단순한 인터페이스를 제공하며 원하는 기능만 활성화하여 프로그램 구성이 가능합니다.
모든 프로그램은 초기 설치 시 바로 사용 가능한 형태이므로 소프트웨어 기능을 한 달간 무료로 사용해본 후 구매 여부를 결정할 수 있습니다. 온실 환경 통제를 위한 일체형 시스템을 제공하며, 최신 소프트웨어 업데이트를 무료로 제공합니다.",농가PC,-,-,-,-,-,-,-,-
115,시설원예,대영지에스주식회사,네덜란드,양액기,양액기,FertiMix,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"펄티믹스는 각 농가의 조건에 맞는 다양한 모델을 제공하며, 옵션 기능을 통해 원하는 전략에 따라 급액을 제어할 수 있습니다.
프리믹싱 밸브를 설치하여 재처리 배액을 일정한 농도로 사용할 수 있고 하이드로바 주파수 제어 시스템을 도입하여 내구성을 높였습니다. 또한 EC 및 pH센서가 장착되어 모니터링이 가능하며, 정교한 설계를 통하여 원하는 비율로 양액을 혼합하고, 미량원소 및 살균제 등 필요한 물질을 첨가할 수 있어 탄력적으로 운영할  수 있습니다.",농가PC,-,-,-,-,-,-,-,-
116,시설원예,그린랩스,한국,양액기,양액기,SMART-G2A,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"스마트 관수, 관비(양액재배시설)제어시템을 제공합니다. 생육에 가장 적합하게 관수와 관비 제어, 조절이 가능하며, 관수에 장애가 생기면 스마트폰으로 실시간 위기 경보를 보내 줍니다. 스마트폰과 컴퓨터로 제어가 가능하여 긴급한 상황이 발생해도 바로 대처가 가능합니다.",클라우드,-,-,-,-,-,-,-,-
117,시설원예,주식회사 케이에프농업개발,한국,환경제어기,환경제어기,KF-3700,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,"특허제 10-1113107호 온실의 천창제어방법 특허등록, 특허제 10-1130340호 온실의 커튼제어방법 특허등록","(1) 제어범위
가. 각 구역은 일중천창 2개소, 이중천창 2개소, 수평커튼 3개소, 측커튼 1개소, 측창 1개소, CO2 1개소, 스프링클러 1개소, 부광등 1개소, 훈증기 1개소, 분무 1개소, 난방(온풍기) 1개소, 난방밸브(4WAY VALVE) 2개소, 순환펌프 2개소, 유동팬 1개소, 배기팬 1개소를 제어 한다.
(2) 센서종류
가. 온습도 센서를 2개소 까지 설치할 수 있다. 
나. 외부 기상센서(온습도센서, 일사센서 1개, 풍향 풍속센서 1개,  강우센서 1개)를 설치한다. 
다. CO2 센서를 부착 할 수 있다.",자체서버,-,-,-,-,-,-,-,-
118,시설원예,(주)다온알에스,대한민국,환경제어기,환경제어기,다오니,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,10-1792215,"- 온도, 습도, CO2(탄산가스) 농도, 함수율 등 시설관련 환경 데이터 측정 기능
- 상한, 하한 알람 설정으로 환경 데이터 알림 기능(알람값 범위 밖의 값이 측정되면 배너 알림 발생)
- 제품에서 측정하는 데이터를 실시간 그래프로 보여주며, 수집된 데이터를 바탕으로 최대 1일 평균값을 그래프 표시
- 원격으로 시설 환경관련 기기의 원격제어 기능
- 제품이 설치된 지역의 기상청 정보(날씨, 일출, 일몰, 최고/최저 기온) 제공",클라우드,-,-,-,-,-,-,-,-
119,시설원예,(주)다온정보기술,대한민국,환경제어기,환경제어기,DP-VHC100,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제10-1682066호,"- 팜톡 클라우드서버와의 통신으로 신호전달 송？수신
- 각종 노드와의 통신으로 데이터 수집 및 전송
- TCP/IP 이더넷 통신에 의한 원격 제어
- 시리얼 통신에 의한 외부 인터페이스 확장 가능",클라우드,-,-,-,-,-,-,-,-
120,시설원예,주식회사 엔엔케이,대한민국,환경제어기,환경제어기,Ground-One,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,,"컨트롤 박스 일체형으로 통합 환경 관리, 데이터 통신등
스마트폰 원격제어
지능형 온도제어
블랙 다운 제어(파프리카 농장에서 사용)
창제어, 온도, 우적, 팬, 커튼 일체형
데이터 통신, 인터넷 통신, 월드 와이드 컨트롤",미저장,-,-,-,-,-,-,-,-
121,시설원예,한국네타핌유한회사,이스라엘,환경제어기,환경제어기,NMC-PRO,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,온실복합 환경제어시스템,자체서버,-,-,-,-,-,-,-,-
122,시설원예,(주)유샘인스트루먼,한국,환경제어기,환경제어기,ZF-3C,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제10-1831880,"딸기재배의 탄저병,잿빛곰팡이병,흰가루병,탄저병의 병의 진행도를 스마트폰으로 확인함
무위험,저위험,중위험의 단계로 그래프표시하며, 중위험시 해당병의 적기에 약제방제를 하기위한 장치임.
병의 진행도는 100%에 가까운 정밀도이며, 이를 사용해 양제방제효과는 90% 이상인것으로 딸기 연구소에서 입증하여 
농촌진흥청에 자료제출되었음",자체서버,-,-,-,-,-,-,-,-
123,시설원예,이레ENG,대한민국,환경제어기,환경제어기,버섯재배사자동제어시스템JR-500,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"본 시스템은 버섯재배사의 환경제어를 고정밀센서에 의해 가습, 환기, 난방, 냉방기를 자동제어하는 방식입니다.
정확한 데이터를 기준으로 프로그램화된 시스템을 적용함으로써, 버섯재배의 편리함을 제공하며, 불필요한 기계 동작을 막아 전기료 절감, 재해예방, 인력절감 등의 효과를 기대할 수 있습니다. 
1. 환경자동제어: Co2 농도를 실시간 측정 제공하여 환풍기, 가습기, 냉방기, 난방기 연동으로 설정범위 유지, 온도/습도를 실시간으로 측정제공하여 계절 날씨에 관계없이 일정한 데이터로 최적의 환경관리 가능.
2. 원격감시
 - Co2, 온도, 습도의 경보, 상/하한치 등 각종 설정에 대해 인터넷에서 원격제어 가능
 - 재배환경 데이터(온/습도, Co2)수집 및 파일로 저장가능
 - 이상상황 발생시 경보를 수집하여 고객사에 이상을 알리는 SMS(문자 알림)서비스
 - 인터넷이 가능한 곳에서 언제 어디서라도 자신의 재배사을 확인 관리 가능(스마트 폰 접속 가능)",자체서버,-,-,-,-,-,-,-,-
124,시설원예,(주) 비엔씨하이텍,한국,환경제어기,환경제어기,BCS-H,O,X,X,X,X,X,X,X,X,X,X,인증,해당없음,제 10-1550811호,"-초 미세 물 입자를 만들어냄으로 순간 증발 ,냉각이 가능하여 물에 젖지 않는다.
-주변 대기온도를 낮추는 자연냉각방식을 적용 에너지비용을 별도로 들이지 않는 친환경 냉각
-온도 습도 조절에 매우 효과적임
- 하우스의 경우 농작물의 고른 성장을 촉진시키며 병충해 방제에도 큰 도음이 된다.",자체서버,-,-,-,-,-,-,-,-
125,시설원예,(주)농정사이버,대한민국,환경제어기,환경제어기,nj2015,O,X,X,X,X,X,X,X,X,X,X,인증 제외,해당없음,0463110,"인터넷 온실 경영관리 시스템은 Internet Explorer에서 세계 어디서나 장소에 구애 받지 않고 인터넷에 접속하여 원격지에 있는 온실의 온도, 습도 등 환경관리와 각종 기기의 감시, 제어 등을 실시간으로 운영할 수 있도록 개발 됨.
누구나 인터넷 망에서 자유롭게 접속하여 온실경영관리프로그램의 모든 운영시스템을 마우스로 간단하게 클릭 하여 조작하는 다양한 시스템으로 개발 됨.
온실경영자에게 원격지에 자신의 온실내의 온도 좌, 온도 우, 외부온도, 습도, 강우, 일사, 풍향, 풍속 등 센서를 중심으로 온풍기, 개폐기, 수평커튼, 관수 등 기기와 연계한 일일 15단 변온 설정에 의한 정밀관리와 다양한 서비스를 제공한다.
또한 온실의 환경현황과 각종 기기 등의 운전상태를 확인, 감시, 조작하며 컴퓨터 및 핸드폰을 통한 경보 안전장치와 각종 환경 자료 및 영농 컨설팅 등 운영자가 쉽게 운영할 수 있는 인터넷 온실경영관리시스템이다. 

인터넷온실환경관리시스템의 컴퓨터(클라이언트)는 Windows 에서 수용되며 웹 브라우저는 Internet Explorer에서 적용할 수 있는 프로그램을 구성하고 인터넷 온실환경관리프로그램의 모든 운영시스템은 마우스로 간단하게 클릭 조작할 수 있도록 시스템을 구축했다. 
서버 쪽에서 실행되는 별도의 프로그램은 TznFASrv.exe으로 이는 서버 컴퓨터에 연결되어 있는 장치(PLC나 특정 보드 등)에서 Data를 수집하고 요청이 있을 경우 장치를 제어하는 역할을 한다. 
특히 온도, 습도, 일사, 풍향, 풍속 등의 실시간 Data를 Internet Explorer상에서 동작하는 TznFACtl.ocx, ActiveX Control에게 TCP/IP 프로토콜을 이용하여 전송하며 사용자의 제어 요청이 있는 경우 TznFACtl.ocx로부터 제어 요청을 받아 그 내용을 해당하는 Device Driver에 보내 제어가 이루어지도록 한다.
1)일출, 일몰과 15단계와 연계 P밴드값 자동 변경 실행, 2)개폐범위 0~100% 선택 ,천창좌우 개별 개폐범위 조절, 3)실시간 습도에 따라 설정온도 자동전환 천창 개페, 4)습도변화에 의한 천창 모터 계별 비례제어, 5)복사에너지 값(W/m2 )에 의한 창문 개폐 변온, 6)일사량, 외부온도, 풍향풍속과 연계 P밴드 적용, 7)항목별 설정값과 변수값 조절 제어, 8)동일 공간내에서 온도센서 선택적 제어 가능, 9)풍향에 천창 좌우 전환과 풍속에 의한 개폐폭 조절, 10)실시간 누적일사, 습도는 환기설정 온도값 에 자동, 11)비닐온실 개폐기 반복 동작 편차 조정을 위한 기능",자체서버,-,-,-,-,-,-,-,-
126,시설원예,(주)나래IoT연구소,대한민국,환경제어기,환경제어기,반딧불이-스마트원격제어시스템,O,X,X,X,X,X,X,X,X,X,X,미인증,해당없음,,"1. 현장개폐기와 연동 원격에서 스마트폰으로 개폐기 제어가능
2. 온도, 습도 등 센서 설정 값에 따라 단순 자동제어 기능 포함
3. 유사시(정전, 침입, 온도이상 등) 스마트폰으로 즉시 경보전송
4. 스마트폰 앱을 통해 영상/센서데이터 실시간 모니터링
5. CCTV 카메라를 통한 24시간 감시 및 영상녹화",클라우드,-,-,-,-,-,-,-,-
127,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,ECO24,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
128,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,titan24,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
129,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,ECO18,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
130,"시설원예, 축산",주식회사에어텍,한국,냉방기,냉방기,ASCU-H100,O,O,O,O,O,O,O,O,X,X,X,인증 제외,해당없음,,전외기 TYPE 냉난방기,농가PC,-,-,-,-,-,-,-,-
131,"시설원예, 축산",주식회사에어텍,한국,냉방기,냉방기,ASCU-100,O,O,O,O,O,O,O,O,X,X,X,인증 제외,해당없음,,전외기 TYPE 냉방기,농가PC,-,-,-,-,-,-,-,-
132,"시설원예, 축산",주식회사 에쿨텍,한국,안개분무시스템,안개분무기,AGRO-FOGSYSTEM,O,X,X,X,O,O,X,X,X,X,X,인증 제외,해당없음,,미세한 분사 입자 및 고른 분사방식으로 계사 전체의 균일한 습도를 유지해주는 장치,자체서버,-,-,-,-,-,-,-,-
133,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,titan16,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다. 
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다. 
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
134,"시설원예, 축산",주식회사 에쿨텍,한국,냉방기,쿨링패드,AGRO-CP150,O,X,X,X,O,O,X,X,X,X,X,인증 제외,해당없음,,기화식 장치로 인한 축사 및 하우스 내부의 온도를 저하시킴,자체서버,-,-,-,-,-,-,-,-
135,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,titan20,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
136,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,ECO16,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
137,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,titan18,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
138,"시설원예, 축산",(주)드림씨에스씨,미국,환풍기,환풍기,ECO20,O,X,O,O,X,X,X,X,X,X,X,인증 제외,해당없음,,"축사의 환기 및 송풍역할, 여름에는 정회전으로 가축의 체감온도를 낮추며, 바닥건조에 도움을 줍니다.
겨울에는 역회전 기능으로 축사의 공기를 천정쪽으로 밀어내어 공기순환 및 환기 시키는 역할을 합니다.
45데시벨 이하의 소음으로 축사내의 팬 작동으로 인한 소음을 줄여줍니다.",농가PC,-,-,-,-,-,-,-,-
