,기업명,장비 모델명,구성품,장치명,모델명,사양,제조사,제조국,표준 가격(원)
166,태진테크,MC-V1000-8S,옵 션 2,온도경보기통신박스,MC-1015S,온도/습도값수집,태진테크,대한민국,"150,000원"
167,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 1,CCTV,ipTIME C200,1920 x 1080 Full HD,iptime,한국,"100,000원"
168,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 2,NAS,NAS,OnVif 지원 CCTV 연결 영상 저장,iptime,한국,"1,000,000원"
169,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 3,복합환경제어기,GSS-EGF201,제어판넬,글로벌스마트솔루션(주),한국,"1,000,000원"
170,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 4,토양 센서,CWT-SOIL-THC-S,emp: -40~80℃ Hum: 0~100% RH EC:0~200000us/cm,ComWinTop,수입,"250,000원"
171,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 5,기상 센서,MS-WH-SP-WS02,Temp: -40~65℃ Hum: 10~99% RH Wind speed: 0~100 mph,MISOL,수입,"300,000원"
172,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 6,전자릴레이,구동기 제어,구동기제어기,글로벌스마트솔루션(주),한국,"1,000,000원"
173,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 7,모니터,엘지모니터,24인치,엘지,국내,"250,000원"
174,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 8,모니터,삼성모니터,32인치,삼성,국내,"350,000원"
175,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 9,DVR,AST04 265,"4CH, FULL-HD(1080P), HDMI, VGA, SPOT 등",자비스넷,국내,"600,000원"
176,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 10,CCTV,PTZ 카메라,"Full HD ( 2Mega ), 5.3~64mm, PoE 지원",자비스넷,국내,"910,000원"
177,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 11,CCTV,가변 카메라,"Full HD ( 2Mega ), 2.8~12mm, PoE 지원",자비스넷,국내,"250,000원"
178,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 12,일사 센서,WSR-7500+,"0~1,200 W/㎡",코리아디지탈,국내,"450,000원"
179,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 13,PH 센서,CRT14016P,0-14 pH,ELECROW,수입,"50,000원"
180,글로벌스마트솔루션 주식회사,GSS-EGF201,옵 션 14,UPS,BE400KR,"AC220V, 240Watt, 400VA",APC,수입,"200,000원"
181,(주)온더버스,ON-1000,옵 션 1,온습도센서(추가),HTG3535,range(temp):-40°C~110°C / range(humidity): 0~100RH,TEConnectivity,미국,"100,000원"
182,(주)온더버스,ON-1000,옵 션 2,풍향풍속센서,YGC-FSFX,0.03Volt per m/s,CALT,중국,"400,000원"
183,(주)온더버스,ON-1000,옵 션 3,강우센서,DRC-3000,boolean output,태성기전,대한민국,"300,000원"
184,(주)온더버스,ON-1000,옵 션 4,CO2센서,MH-Z19B,range: 0~2000ppm,WINSEN,중국,"300,000원"
185,(주)온더버스,ON-1000,옵 션 5,조도센서,BH1750FVI I2C,range: 0~65535lux,ROHM,중국,"200,000원"
186,(주)온더버스,ON-1000,옵 션 6,IP카메라,DS-2CD2025FWD-I,6mm lens,HIKVISON,중국,"250,000원"
187,(주)온더버스,ON-1000,옵 션 7,녹화기,DS-7604NI-K1/4P,4채널 ip카메라 지원,HIKVISON,중국,"350,000원"
188,주식회사 비바엔에스,잇츠스마트팜,옵 션 1,토양pH센서,SFP-100,,비바엔에스,국내,"500,000원"
189,코리아디지탈(주),팜스큐브,옵 션 1,하우스개폐장치,,5채널,,한국,"1,500,000원"
190,(주)텔팜,TF-1001,옵 션 1,자동급이기,ISK-AF300,자동급이기,주식회사성광,국산,"20,000,000원"
191,(주)텔팜,TF-1001,옵 션 2,사료빈관리기,IFB-AW50,사료빈관리기,(주)인하이팜,국산,"5,000,000원"
192,(주)텔팜,TF-1001,옵 션 3,안개분무기,IAM-M500,안개분무기,(주)인하이팜,국산,"7,000,000원"
193,다스텍(주),본다우스,옵 션 1,Co2센서,FS-600R,"온도,습도,조도,Co2",CONOTEC,대한민국,"600,000원"
194,다스텍(주),본다우스,옵 션 2,풍향/풍속센서,7911,"풍향,풍속",davis,수입,"2,500,000원"
195,다스텍(주),본다우스,옵 션 3,토양센서,WT-1000B,"지온,지습,EC",미래센서,대한민국,"650,000원"
196,다스텍(주),본다우스,옵 션 4,CCTV,DS-2CE16D1T,200만화소,HIKVISON,수입,"180,000원"
197,다스텍(주),본다우스,옵 션 5,DVR,DS72XXHGHI,FHD,HIKVISON,수입,"600,000원"
198,(주)성진시스템,SJ-SMFAR-08(원예),옵 션 1,무선통신기,SJ-Wifi,wifi2.4G,성진시스템,대한민국,"100,000원"
199,(주)에스이디,SED-SF-A1000,옵 션 1,풍향풍속센서,YGC-FSFX,±(0.3 0.03V)m/s,CALT,외국,"450,000원"
200,(주)에스이디,SED-SF-A1000,옵 션 2,감우센서,SED-SF-RS01,측정 범위: 0-100/0-1 출력 방수보호 등급: IP65,㈜에스이디,대한민국,"150,000원"
201,(주)에스이디,SED-SF-A1000,옵 션 3,이산화탄소센서,MH-Z19B,Detection Range : 10000ppm,WINSEN,외국,"300,000원"
202,(주)에스이디,SED-SF-A1000,옵 션 4,조도센서,11046EDT01,BH1750FVI Chip / 0~65535lx,ROHM,외국,"200,000원"
203,(주)에스이디,SED-SF-A1000,옵 션 5,토양센서,S-Temp&VWC&EC-02,Soil Temperature Range:-40 to +80 Soil Moisture Range:From completely dry to fully saturated (from 0% to 100% of saturation) Electrical Conductivity Range:0 ~ 10000 μs/CM,SENSECAP,외국,"500,000원"
204,(주)에스이디,SED-SF-A1000,옵 션 6,IP Bullet Camera,NCN-B5014,"500만화소, 3.6mm",(주)엔씨엔,대한민국,"370,000원"
205,(주)에스이디,SED-SF-A1000,옵 션 7,IP Dome Camera,NCN-D5014,"500만화소, 3.6mm",(주)엔씨엔,대한민국,"220,000원"
206,(주)에스이디,SED-SF-A1000,옵 션 8,온풍기,HJ380-900k,9kw,(주)해주이엔팜,대한민국,"900,000원"
207,주식회사 엔스텝,NSFM-0832,옵 션 1,일사센서,NS-SE-003L,0~2000W/m2,Apogee,미국,"600,000원"
208,주식회사 엔스텝,NSFM-0832,옵 션 2,8채널 제어보드,NS-BD-001C,8개 정역모터 제어,엔스텝(주),대한민국,"770,000원"
209,주식회사 엔스텝,NSFM-0832,옵 션 3,다용도 입출력 보드,NS-BD-001A,"8개 입력, 4개 출력",엔스텝(주),대한민국,"440,000원"
210,주식회사 엔스텝,NSFM-0832,옵 션 4,IP카메라,DH-SF125,2백만 HD 화소,DAHUA,중국,"100,000원"
211,주식회사 엔스텝,NSFM-0832,옵 션 5,녹화장치,XRN-410S,4입력 IP카메라,한화테크윈,대한민국,"500,000원"
212,그린랩스,GLP-100,옵 션 1,NVR,DS-7608NI-K2,8채널,HKVISION,중국,"300,000원"
213,그린랩스,GLP-100,옵 션 2,NVR,DS-7616NI-K2,16채널,HKVISION,중국,"450,000원"
214,그린랩스,GLP-100,옵 션 3,CCTV,DS-2DE4225IW-DE,200만 PTZ,HKVISION,중국,"550,000원"
215,그린랩스,GLP-100,옵 션 4,CCTV,DS-2CD1021-I,200만 일반형,HKVISION,중국,"180,000원"
216,그린랩스,GLP-100,옵 션 5,모니터,엘지모니터,24인치,엘지,중국,"250,000원"
217,그린랩스,GLP-100,옵 션 6,모니터,삼성모니터,32인치,삼성,중국,"350,000원"
218,그린랩스,GLP-100,옵 션 7,CCTV,DS-2DE7430IW-AE,400만 PTZ,HKVISION,중국,"1,100,000원"
219,(주)에스이디,SED스마트팜,옵 션 1,풍향풍속센서,YGC-FSFX,±(0.3 0.03V)m/s,CALT,외국,"450,000원"
220,(주)에스이디,SED스마트팜,옵 션 2,감우센서,SED-SF-RS01,측정 범위: 0-100/0-1 출력 방수보호 등급: IP65,㈜에스이디,대한민국,"150,000원"
221,(주)에스이디,SED스마트팜,옵 션 3,이산화탄소센서,MH-Z19B,Detection Range : 10000ppm,WINSEN,외국,"300,000원"
222,(주)에스이디,SED스마트팜,옵 션 4,조도센서,11046EDT01,BH1750FVI Chip / 0~65535lx,ROHM,외국,"200,000원"
223,(주)에스이디,SED스마트팜,옵 션 5,토양센서,S-Temp&VWC&EC-02,Soil Temperature Range:-40 to +80 Soil Moisture Range:From completely dry to fully saturated (from 0% to 100% of saturation) Electrical Conductivity Range:0 ~ 10000 μs/CM,SENSECAP,외국,"500,000원"
224,(주)에스이디,SED스마트팜,옵 션 6,IP Bullet Camera,NCN-B5014,"500만화소, 3.6mm",(주)엔씨엔,대한민국,"370,000원"
225,(주)에스이디,SED스마트팜,옵 션 7,IP Dome Camera,NCN-D5014,"500만화소, 3.6mm",(주)엔씨엔,대한민국,"220,000원"
226,(주)에스이디,SED스마트팜,옵 션 8,온풍기,HJ380-900k,9kw,(주)해주이엔팜,대한민국,"900,000원"
227,(주)코리아에너시스,NGP-109,옵 션 1,온습도 환경제어기,NGP-109-TQ,소비전력 : 10.1kW,NEPON,태국,"22,000,000원"
228,(주)유비엔,팜링크,옵 션 1,인터페이스 노드,(U-SNIF-W),센서 데이터 무선 전송 장비  무선통신범위 : 1km 이상,(주)유비엔,대한민국,"330,000원"
229,(주)다함,다함팜,옵 션 1,온/습도 센서,DF-WS-NO1-BYH-485,온도: -40℃~+80℃ / 습도: 0~100%RH,Shandong Renke Control Technology,외국,"287,500원"
230,(주)다함,다함팜,옵 션 2,풍속센서,DF-FS-NO1-485,0~60m/s,Shandong Renke Control Technology,외국,"241,500원"
231,(주)다함,다함팜,옵 션 3,풍향센서,DF-FX-NO1-485,"8방위,응답시간 : 0.5sec",Shandong Renke Control Technology,외국,"258,750원"
232,(주)다함,다함팜,옵 션 4,일사량센서,DF-RA-NO1-JT-485,0~1800W/㎡,Shandong Renke Control Technology,외국,"661,250원"
233,(주)다함,다함팜,옵 션 5,감우센서,DF-YUK-NO1-JT-485,"비,눈,우박 등 강수여부에 따라 ON/OFF",Shandong Renke Control Technology,외국,"333,500원"
234,(주)다함,다함팜,옵 션 6,CO2센서,DF-CO2-NO1-2-485,0~5000ppm,Shandong Renke Control Technology,외국,"372,600원"
235,(주)다함,다함팜,옵 션 7,토양센서,DF-ECTH-NO1-TR-1-485,온도: -40℃~+80℃ / 습도: 0~100% / 전도: 0~20000us/cm,Shandong Renke Control Technology,외국,"450,200원"
236,(주)다함,다함팜,옵 션 8,관수압력,DF-PS-NO1,"P-21, 4~20mA",(주)다함,한국,"800,000원"
237,(주)다함,다함팜,옵 션 9,배지배액측정시스템,DF-LOAD-NO1-485,"중량범위 : 3KG ~ 200Kg,중량표시 인디케이터 적용 (통신형 RS485)",(주)다함,한국,"2,127,000원"
238,코리아데이타코퍼레이션(주),ASCU-150,옵 션 1,GateWay(SW포함),HF2211,RS-485,"S.H.F.E.T, CO",중국,"3,000,000원"
239,주식회사 솔레노이드시스템,MAC-IT,옵 션 1,온습도센서,AM2305,-40... + 80 ° C,AOSONG,중국,"25,000원"
240,주식회사 솔레노이드시스템,SNSV6-TOUCH-IT,옵 션 1,광센서,RK200-04,0-1500W/㎡,RIKA SENSOR,중국,"250,000원"
241,(주)텔레비트,MN-40,옵 션 1,지킴이무선,TB-WN40,"정전감시,온도감시,기계고장감시",(주)텔레비트,대한민국,"400,000원"
242,(주)텔레비트,MN-40,옵 션 2,지킴이모니터,TB-MS-1,각동의 정보표시,(주)텔레비트,대한민국,"400,000원"
243,(주)텔레비트,MN-40,옵 션 3,지킴이키퍼,TB-CS-2,"정전감시,온도감시,기계고장감시",(주)텔레비트,대한민국,"300,000원"
244,(주)파머스올농업회사법인,HA-1500,옵 션 1,온습도센서,,,,중국,"100,000원"
245,(주)파머스올농업회사법인,HA-500,옵 션 1,이산화탄소센서,PR-3002,400~5000ppm,,중국,"600,000원"
246,(주)경농,COMPASS4S,옵 션 1,CO2 센서,바이살라,0-3000ppm,바이살라,필란드,"2,000,000원"
247,(주)경농,COMPASS4S,옵 션 2,CO2 센서,프리바,0-3000ppm,프리바,네덜란드,"5,000,000원"
248,(주)경농,COMPASS4S,옵 션 3,수온센서,난방용,3K/NTC,프리바,네덜란드,"200,000원"
249,(주)경농,COMPASS4S,옵 션 4,관수관리 프로그램,Advance,,프리바,네덜란드,"1,000,000원"
250,(주)경농,COMPASS4S,옵 션 5,양액기 관리 프로그램,Advance,,프리바,네덜란드,"1,000,000원"
251,(주)경농,COMPASS4S,옵 션 6,도징채널 드라이버,,5채널,프리바,네덜란드,"450,000원"
252,(주)경농,COMPASS4S,옵 션 7,EC센서,프리바,,프리바,네덜란드,"480,000원"
253,(주)경농,COMPASS4S,옵 션 8,pH센서,프리바,,프리바,네덜란드,"300,000원"
254,(주)경농,COMPASS4S,옵 션 9,EC 인터페이스,프리바,콤파스/맥시마이저 용,프리바,네덜란드,"950,000원"
255,(주)경농,COMPASS4S,옵 션 10,pH 인터페이스,프리바,콤파스/맥시마이저 용,프리바,네덜란드,"1,200,000원"
256,(주)경농,COMPASS4S,옵 션 11,EC센서,국산,4-20mA,KD디지털,대한민국,"200,000원"
257,(주)경농,COMPASS4S,옵 션 12,pH센서,국산,4-20mA,KD디지털,대한민국,"200,000원"
258,(주)경농,COMPASS4S,옵 션 13,EC 인터페이스,국산,220V/4-20mA,솔레노이드,대한민국,"250,000원"
259,(주)경농,COMPASS4S,옵 션 14,pH 인터페이스,국산,220V/4-20mA,솔레노이드,대한민국,"250,000원"
260,그린씨에스(주),MAGMA-1000,옵 션 1,양액기,MAGMA-1000,양액공급기,그린씨에스(주),대한민국,"13,000,000원"
261,(주)그랜드,GsmartFarm복합환경제어기,옵 션 1,SCADA,G-SCADA,PC 원격제어,그랜드,대한민국,"10,000,000원"
262,(주)그랜드,GsmartFarm복합환경제어기,옵 션 2,UPS,BE400-KR,240W,APC,미국,"200,000원"
263,(주)그랜드,GsmartFarm복합환경제어기,옵 션 3,온도센서,GOTO-420,-20~50,지니스코리아,국산,"200,000원"
264,(주)그랜드,GsmartFarm복합환경제어기,옵 션 4,습도센서,GOHO-420,0~98%,지니스코리아,국산,"250,000원"
265,(주)그랜드,GsmartFarm복합환경제어기,옵 션 5,강우센서,WRS-09R,,티엠아이컴퍼니,국산,"280,000원"
266,(주)그랜드,GsmartFarm복합환경제어기,옵 션 6,일사센서,WSSL-506,0~2000W/㎡,우성하이텍,국산,"300,000원"
267,(주)그랜드,GsmartFarm복합환경제어기,옵 션 7,토양센서,WT-1000B,"Moisture ± 1%, EC ± 0.1 dS/m, Temperature ± 0.5 °C",미래센서,국산,"600,000원"
268,(주)그랜드,GsmartFarm복합환경제어기,옵 션 8,C02센서,CD-100G,"0 ~ 2,000/3,000/5,000/10,000ppm",이엘티센서,국산,"450,000원"
269,삼일엔지니어링,SIWP-1000,옵 션 1,양액기,SIEC-1000,"◎ 1개 관수그룹 제어   ◎ 최대 16개 관수밸브 제어(기본 8개)   ◎ 4개 공급방식 : 시간공급, 일사공급, 주기공급, 외부공급    ◎ 공급 단위 : 시간 / 유량 선택 가능 (유량 선택 시 유량계 추가옵션)   ◎ 공급현황 기록 : 총 관수량, 구역별 관수횟수 누적 일사량 기록, 최대 20회 저장    ◎ 단계별 일사량 설정 가능(1~3단계)",삼일엔지니어링,국산,"12,000,000원"
270,삼일엔지니어링,SIWP-1000,옵 션 2,탄산가스발생기,SICO-35,형식:연소식. 사용연료:백등유. 사용면적:600평,삼일엔지니어링,국산,"13,000,000원"
271,삼일엔지니어링,SIWP-1000,옵 션 3,무인자동방제기,SIFO-600,"형식:저압분무방식(벤츄리방식). 에어포그 사용용도 : 온실/축사 : 온도강하, 가습, 자동방제, 냄새제거",삼일엔지니어링,국산,"21,000,000원"
272,주식회사 현진테크,SFV-VHJ100,옵 션 1,DVR,XVR5104HS-4KL-X,H.265+/H.265 압축방식,다후아,중국,"500,000원"
273,주식회사 현진테크,SFV-VHJ100,옵 션 2,카메라,HAC-HFW1500T,"200만화소, 야간20M 이상",다후아,중국,"150,000원"
274,주식회사 현진테크,SFV-VHJ100,옵 션 3,모니터,S24F350,24인치,삼성전자,중국,"200,000원"
275,주식회사 소하테크,SH-MVP510,옵 션 1,판넬(컨트롤박스),SH-MVP510 패널,,소하테크,한국,"385,000원"
276,스마트코리아 딤넷,스마트컨트롤러,옵 션 1,토양센서,KSM8900,토양함수율:0.0~50/전기전도도:0~10/토양온도:-40~60,코리아디지탈,한국,"450,000원"
277,주식회사 아이오티팜 농업회사법인,NAIS-1000양액공급기,옵 션 1,폐액모니터링,F-200,"EC,pH 디스플레이",(주)아이오티팜,대한민국,"1,000,000원"
278,대영지에스주식회사,CX-500,옵 션 1,CO2센서,MCO2,CO2농도 측정,Ridder,네델란드,"2,200,000원"
279,대영지에스주식회사,CX-500,옵 션 2,온도센서,MTActive,온도측정,Ridder,네델란드,"952,000원"
280,그린랩스,SMART-G2A,옵 션 1,펌프,PU-952M,D50,WILO,한국,"270,000원"
281,그린랩스,SMART-G2A,옵 션 2,골든트리,50mm_120mesh_Disk방식_플라스틱밴드,D50,,한국,"40,000원"
282,그린랩스,SMART-G2A,옵 션 3,펌프,PU-S1700M,D50,WILO,한국,"389,000원"
283,그린랩스,SMART-G2A,옵 션 4,펌프,PU-S1800i,D50,WILO,한국,"389,000원"
284,주식회사 케이에프농업개발,KF-3700,옵 션 1,제어기,KF-3700,온실제어 구역 증가,KF농업개발,한국,"5,500,000원"
285,(주)다온정보기술,DP-VHC100,옵 션 1,카메라,DS-2DE4225IW-DE,"25배 광학 줌, 16배 디지털 줌",HIKVISION,중국,"517,000원"
286,(주)다온정보기술,DP-VHC100,옵 션 2,카메라,DS-2CD2T22WD-I5,"200만 화소, 2메가 픽셀, 실외방수형 EXIR 뷸렛 IP카메라",HIKVISION,중국,"186,000원"
287,(주)다온정보기술,DP-VHC100,옵 션 3,NVR,DS-7604NI-E14P,- 4CH PoE NVR,HIKVISION,중국,"165,000원"
288,(주)다온정보기술,DP-VHC100,옵 션 4,CO2센서,CNT-500R,"0~3000PPM , 온습도계 포함",(주)코노텍,대한민국,"576,000원"
289,(주)다온정보기술,DP-VHC100,옵 션 5,HDD,ST4000VX008,"2TB,  ImagePerfect펌웨어 탑재",SEAGATE,미국,"180,000원"
290,(주)다온정보기술,DP-VHC100,옵 션 6,일사량센서,,"파장 :300~1100nm, 작동온도범위 : 0~+70도씨",(주)미래센서,대한민국,"450,000원"
291,(주)다온정보기술,DP-VHC100,옵 션 7,토양수분센서,WT1000A,"측정범위: 온도 0~60도씨, 습도 0~99.9%",(주)미래센서,대한민국,"350,000원"
292,(주)다온정보기술,DP-VHC100,옵 션 8,토양수분센서,WT1000B,"측정범위: 온도 0~60도씨, 습도 0~99.9%,토양EC 0~6.0dS/m",(주)미래센서,대한민국,"670,000원"
293,주식회사 엔엔케이,Ground-One,옵 션 1,"CCTV, 웹캠",DS Series,FHD,하이크비젼,중국,"1,500,000원"
294,주식회사 엔엔케이,Ground-One,옵 션 2,"CCTV, 웹캠",VSTARCAM Series,FHD,VSTARCAM,대한민국,"1,500,000원"
295,주식회사 엔엔케이,Ground-One,옵 션 3,"CCTV, 웹캠",SUO-6083R,QHD,한화테크윈,중국,"1,500,000원"
296,주식회사 엔엔케이,Ground-One,옵 션 4,PC,DM500T8A-A58,i7,삼성,대한민국,"1,500,000원"
297,주식회사 엔엔케이,Ground-One,옵 션 5,PC,B80FV,i7,LG,대한민국,"1,500,000원"
298,주식회사 엔엔케이,Ground-One,옵 션 6,PC,Vostro 3471,i7,Dell,대한민국,"1,500,000원"
299,주식회사 엔엔케이,Ground-One,옵 션 7,패드,갤럭시 Series,128GB,삼성,대한민국,"890,000원"
300,한국네타핌유한회사,NMC-PRO,옵 션 1,수온센서,NMC WATER TEMPERATURE SENSOR,,NETAFIM,이스라엘,"364,500원"
301,한국네타핌유한회사,NMC-PRO,옵 션 2,Co2센서,CO2 SENSOR,,NETAFIM,이스라엘,"1,935,000원"
302,이레ENG,버섯재배사자동제어시스템JR-500,옵 션 1,컨트롤러,JR500C,,이레ENG,한국,"1,000,000원"
303,(주) 비엔씨하이텍,BCS-H,옵 션 1,안개분무,BCS-11,"분사압:30~80BAR, 분사량:11L",비엔씨하이텍,한국,"12,000,000원"
304,(주) 비엔씨하이텍,BCS-H,옵 션 2,안개분무,BCS-18,"분사압:30~80BAR, 분사량:11L",비엔씨하이텍,한국,"20,000,000원"
305,(주) 비엔씨하이텍,BCS-H,옵 션 3,안개분무,BCS-40,"분사압:30~80BAR, 분사량:11L",비엔씨하이텍,한국,"30,000,000원"
306,(주)농정사이버,nj2015,옵 션 1,은성경보시스템,NJ-03,음성경보장치,(주)농정사이버,대한민국,"1,200,000원"
307,(주)농정사이버,nj2015,옵 션 2,카메라저장장치,DS-04030V(30F),2t,DVR씨앤시,대한민국,"880,000원"
308,(주)농정사이버,nj2015,옵 션 3,카메라,DS-542ND,300만화소,DVR씨앤시,대한민국,"220,000원"
309,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 1,풍향 풍속 센서,DAVIS 7911,"풍향(0~360도), 0~50m/s, RS485",DAVIS,외국,"450,000원"
310,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 2,감우센서,DRC3000,"DC AC 12V~24V, 새똥방지, 발열온도설정, 타임조정, 빗물감지후 지연동작 설정",우성테크,대한민국,"150,000원"
311,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 3,일사센서,WSSL-50,"0~2,000W/m2 , 정밀도 ±5%, 일사보드",우성하이텍,대한민국,"300,000원"
312,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 4,이산화탄소센서,M-530,"전압, 5,000ppm",이엘티센서,대한민국,"250,000원"
313,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 5,광량센서,SQ-214,"공급전압: 5~24VDC, spectral range: 410~655nm, 민감도 0.064mA per μmol",APOGEE,외국,"780,000원"
314,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 6,배액 EC/PH 센서,PHEC ONE  BOARD,"EC,PH센서+컨버터",늘푸른,대한민국,"750,000원"
315,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 7,토양센서,Hydra Probe 2,"지온,지습,EC센서, 0.01~1.5S/m, -10~55℃, 485방식",Stevens,외국,"850,000원"
316,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 8,제어노드,RX32M,32 Digital Output Port 1 RS-485 Port DC12V / 0.5A Input,나래트랜드,대한민국,"500,000원"
317,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 9,UPS,BE400KR,"AC220V, 240Watt, 400VA",APC,대한민국,"180,000원"
318,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 10,아날로그 카메라,DS-2CE16H0T-ITPF,"고정형, 실내외형, 5.0메가픽셀, IR20M",hikvision,외국,"130,000원"
319,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 11,IP 카메라,DS-2CD1021-I,"고정형, 실내외형, 2.0메가픽셀, IR30M",hikvision,외국,"180,000원"
320,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 12,DVR녹화장비,DS-7108HQHI-F1/N,8CH DVR,hikvision,외국,"250,000원"
321,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 13,NVR녹화장비,DS-7108NI-Q1,8CH DVR,hikvision,외국,"300,000원"
322,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 14,PC,JECS-NU591B,"인텔 쿼드코어, 8GB, SSD 256GB",젝스컴퍼니,대한민국,"1,800,000원"
323,(주)나래IoT연구소,반딧불이-스마트원격제어시스템,옵 션 15,터치 모니터,,17”,코리아정보통신,대한민국,"250,000원"
